Tweet,Geo,Location
"RT @smritiirani: Didi says Khela Hobe, she is right! 

She is playing with lives of common people of Bengal, dignity of Bengali women &amp; pro…",,"West Bengal, India "
RT @RajibBanerjeeWB: Leaving for Delhi for an urgent election meeting. @DilipGhoshBJP  @SuvenduWB https://t.co/6Q3AvuC6cB,,
RT @smritiirani: Joined @dpradhanbjp Ji &amp; karyakartas of @BJP4Bengal in supporting @SuvenduWB Ji as he filed his nomination from Nandigram…,,
"150 BJP workers K!ll€d by TMC goons and it's continuing

Now wives of BJP workers are being attacked 

Yes Khela Hoba with lives of people by Mamta Mafia 

But small alleged injury to Mamata and whole liberal mafia is outraged

@SuvenduWB 
@BJP4Bengal 
@KailashOnline",,HINDUSTAN 
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"Jharkhand,India"
"RT @RahulSinhaBJP: Sharing a moment from Kolkata Airport before leaving for Delhi for an Urgent Election Meeting with @DilipGhoshBJP, @SuPr…",,
"@DilipGhoshBJP Matix Fertilizers' Rs 7,000-cr urea plant in West Bengal goes on stream https://t.co/91CR4kZ65l",,
RT @RajibBanerjeeWB: Leaving for Delhi for an urgent election meeting. @DilipGhoshBJP  @SuvenduWB https://t.co/6Q3AvuC6cB,,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,"Rajasthan, India"
RT @timesofindia: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next thr…,,
RT @smritiirani: Joined @dpradhanbjp Ji &amp; karyakartas of @BJP4Bengal in supporting @SuvenduWB Ji as he filed his nomination from Nandigram…,,Jammu And Kashmir
RT @ANI: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next three phases…,,rajampeta india
RT @DrRijuDutta_TMC: Former Union Minister @YashwantSinha joins the @AITCofficial family to fight with @MamataOfficial against the draconia…,,
"RT @iRupND: 150 BJP workers K!ll€d by TMC goons and it's continuing

Now wives of BJP workers are being attacked 

Yes Khela Hoba with live…",,India.     
"But you have no problem in supporting Sarada Scam accused Mamata Banerjee, whose paintings were bought for huge sums of money by the Sarada group? 
@SaketGokhale At least first make up your mind🙂",,In my phone
@TimesNow @MamataOfficial @DilipGhoshBJP How can someone attack on Arnab Goswami as he enjoys Y+ security.,,
"@BJP4Bengal and @DilipGhoshBJP talks about the Gujarat model in the election meetings. This is a reality of Narendra Modi's Gujarat model. 
#BengalRejectsBJP #NoVoteToBJP",,"Jalpaiguri, India"
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,India
"RT @iRupND: 150 BJP workers K!ll€d by TMC goons and it's continuing

Now wives of BJP workers are being attacked 

Yes Khela Hoba with live…",,"Puri, India"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
RT @ANI: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next three phases…,,Pattallok
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,"SONAMURA, Sepahijala,Tripura"
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,Noida
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
"RT @smritiirani: Didi says Khela Hobe, she is right! 

She is playing with lives of common people of Bengal, dignity of Bengali women &amp; pro…",,"Delhi, Hindu Rashtra Bharat"
"@DocAritraHindu @HinduArijita @smritiirani @BJP4Bengal @narendramodi I cannot give much suggestion, since I've never been in situation like this and also I'm not old enough to understand everything. But i can suggest that you guys should contact offices which comes directly under Central government where TMC has no control, or someone in media.",,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
@sambitswaraj @Shehzad_Ind @narendramodi @AmitShah @DilipGhoshBJP Nice Movie clip.... https://t.co/NriO3JzyZ4,,
"RT @SaketGokhale: Since 2017, BJP's Mukul Roy has occupied the plush Lutyens bungalow at 181 South Avenue illegally &amp; has been allotted it…",,
@SurajitNandi4 @i3JPRAiBZlTBYSb @hiran_chatterji @DilipGhoshBJP @BJP4Bengal @BJP4India Unemployment  poverty joblessness illiteracy increasing Farmers on the road they are protesting those who give us food jader jonno amader pet bhore ba beche achi sei krishok der kotha sunche na eto thanda teo coldest temp eo ora rastay chilo farmers aj chitkar korche protesting,,
RT @RajibBanerjeeWB: Leaving for Delhi for an urgent election meeting. @DilipGhoshBJP  @SuvenduWB https://t.co/6Q3AvuC6cB,,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
RT @smritiirani: Joined @dpradhanbjp Ji &amp; karyakartas of @BJP4Bengal in supporting @SuvenduWB Ji as he filed his nomination from Nandigram…,,
"RT @SaketGokhale: Like Saradha scam accused Mukul Roy, another such bungalow has been occupied for years by Bajrang Dal founder Vinay Katiy…",,
"@RakeshTikaitBKU now hired by @MamataOfficial , Now his calendar blocked till 2024 election , what a business !

@ArvindKejriwal
@RahulGandhi 

Shame on

#KishanBill #Jindabaad

#RakeshTikaitExposed 

@BJP4Bengal @BJP4India 
@Shehzad_Ind  @nandkrchoudhry7",,"Bhubaneswar, India"
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
"RT @SaketGokhale: HOWEVER, here's the catch: Chairman of the House Committee of the Rajya Sabha can keep extending the duration as he wishe…",,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,Goa 
RT @SaketGokhale: Why is Saradha Scam accused Mukul Roy being allowed to live in a plush Lutyens bungalow meant only for MPs illegally sinc…,,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
"RT @RahulSinhaBJP: Sharing a moment from Kolkata Airport before leaving for Delhi for an Urgent Election Meeting with @DilipGhoshBJP, @SuPr…",,
"@Joydeep01614215 @SurajitNandi4 @hiran_chatterji @DilipGhoshBJP @BJP4Bengal @BJP4India You have to be relentless, organized well prepared to fight against these professional fake news peddlers. 

This fake news is their strength.",,
@SurajitNandi4 @i3JPRAiBZlTBYSb @hiran_chatterji @DilipGhoshBJP @BJP4Bengal @BJP4India Krishok aj rastay.....sobai aj rastay stand with farmers jader jono pet bhore o beche achi ....ghore agun...bazar agun...job nei privatization max bah ache din my foot,,
"RT @SaketGokhale: While the CBI continues to summon @AITCofficial leaders in the middle of elections, Saradha Scam prime accused Mukul Roy…",,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,"Gujarat, India"
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,India
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,India
"RT @SaketGokhale: Since 2017, BJP's Mukul Roy has occupied the plush Lutyens bungalow at 181 South Avenue illegally &amp; has been allotted it…",,India
"People ready for Mamata Banerjee’s 'visarjan': BJP’s @DilipGhoshBJP. | #May2WithTimesNow

https://t.co/P8V9YDqswA",,India
"RT @SaketGokhale: Like Saradha scam accused Mukul Roy, another such bungalow has been occupied for years by Bajrang Dal founder Vinay Katiy…",,India
"RT @SaketGokhale: HOWEVER, here's the catch: Chairman of the House Committee of the Rajya Sabha can keep extending the duration as he wishe…",,India
RT @SaketGokhale: Why is Saradha Scam accused Mukul Roy being allowed to live in a plush Lutyens bungalow meant only for MPs illegally sinc…,,India
"@RakeshTikaitBKU now hired by @MamataOfficial , Now his calendar blocked till 2024 election , what a business !

@ArvindKejriwal
@RahulGandhi 

Shame on

#KishanBill #Jindabaad

#RakeshTikaitExposed 

@BJP4Bengal @BJP4India 
@Shehzad_Ind  @nandkrchoudhry7",,"Bhubaneswar, India"
"RT @SaketGokhale: While the CBI continues to summon @AITCofficial leaders in the middle of elections, Saradha Scam prime accused Mukul Roy…",,India
@smritiirani @narendramodi @BJP4India @BJP4Bengal @SuvenduWB Who can speak languages fluently like this. This is a real leader . Jai ho,,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,Mumbai
RT @RajibBanerjeeWB: Leaving for Delhi for an urgent election meeting. @DilipGhoshBJP  @SuvenduWB https://t.co/6Q3AvuC6cB,,
"Former BJP leader Yashwant Sinha joins TMC ahead of Bengal polls

@BJP4Bengal @AITCofficial @MamataOfficial 

https://t.co/jsDVcCVMQ0",,INDIA
RT @sohambanerjee99: a short video of #Vote4Modi campaign in Kalyani Assembly. @narendramodi @amitmalviya @DilipGhoshBJP @ujjwalpareek http…,,
"@DocAritraHindu @HinduArijita @smritiirani @BJP4Bengal @narendramodi It's good that you guys are fighting this together, I hope you both find justice and live a happy life. Please, please don't ever think of doing something bad to yourself. Contact someone in media, so that they won't be able to harm you. HOPE YOU GUYS FIND JUSTICE.",,
"RT @ankitasood13: TMC jaachhe BJP Asche !! 
Jai ho @smritiirani didi 🇮🇳🙏🏻",,"Varanasi, India"
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,India
